Drug Name,SMILES,molecular_weight,logP,pKa,solubility,permeability,plasma_protein_binding,fm_in_vitro,fu_in_vitro,Clearance,CYP450_Enzyme
semaglutide,CC[C@H](C)[C@@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CC[C@H](C(=O)O)NC(=O)CCCCCCCCCCCCCCCCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)N)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC5=CC=CC=C5)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@H](CC6=CN=CN6)N,4113.6119,,,,,0.99,,,0.05,
gemfibrozil,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,250.336,,4.7,,,0.99,,,1.05,CYP450_3a4_substrate
vemurafenib,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,489.93,3.0,7.9,0.001,2.9,0.99,,,31.0,CYP450_3a4_substrate
ofloxacin,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,361.368,,,,,0.155,,,2.1,
falnidamol,CN1CCC(CC1)NC2=NC=C3C(=N2)C(=NC=N3)NC4=CC(=C(C=C4)F)Cl,387.8481,1.83,2.83,,,,0.97,,,
lorazepam,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,321.162,,,,,0.465,,,0.75,
fexofenadine (terfenadine carboxylate),CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,501.663,,,,,0.65,,,6.800000000000001,
dextropropoxyphene,CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C,339.476,,,,,,,,910.0,
sitagliptin,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,523.32,,,,,0.38,,,697.0,CYP450_3a4_substrate
N-desethylsunitinib (SU12662),CCNCCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,370.4,,,,,0.9,,,,
nicardipine,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,479.53,3.82,,,,0.9875,,,6.75,
melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,232.2814,0.8,16.51,,,0.32,,,0.016,
encenicline,C1CN2CCC1[C@H](C2)NC(=O)C3=CC4=C(S3)C(=CC=C4)Cl,320.8423,,,,,,,,23.1,
PF-05150122,C1=CC(=C(C=C1C(F)(F)F)C2=CN=NC=C2)OC3=CC(=C(C=C3Cl)S(=O)(=O)NC4=NN=CS4)F,,,,,,,,,295.0,
brotizolam,CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl,393.695,,,,,0.92,,,11.5,
beclomethasone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)Cl)C,408.9191,,,,,,,,163.4,
ciclesonide,CC(C)C(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)O[C@H](O2)C6CCCCC6,540.7,,,,,0.99,,,152.0,
gliclazide,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,323.4149,,5.8,0.001,,0.94,,,18.95,
mefenamic acid,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,241.2885,,,0.004,,0.9,,,21.13,
dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,248.305,,,,,0.37,,,0.385,
desmethylselegiline,C[C@H](CC1=CC=CC=C1)NCC#C,173.2575,2.46,9.8,,,0.53,,,,
saxagliptin,C1[C@@H]2C[C@@H]2N([C@@H]1C#N)C(=O)[C@H](C34CC5CC(C3)CC(C5)(C4)O)N,333.43,,,,,0.38,,,350.0,CYP450_3a4_substrate
acetaminophen (paracetamol),CC(=O)NC1=CC=C(C=C1)O,151.16,,,,,0.2,,,0.08,CYP450_3a4_substrate
sarpogrelate,CN(C)CC(COC1=CC=CC=C1CCC2=CC(=CC=C2)OC)OC(=O)CCC(=O)O,429.51,,,,,,,,92.39999999999999,
naratriptan,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,335.47,,,,,0.295,,,6.6,CYP450_3a4_substrate
chlorpropamide,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,,,,,,0.483,,,0.017499999999999998,
miltefosine,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,407.571,,,,,0.98,,,,CYP450_3a4_substrate
naphthoquine,CC(C)(C)NCC1=CC(=C2CCCCC2=C1O)NC3=C4C=CC(=CC4=NC=C3)Cl,409.9582,6.08,,,,,,,458.0,
dofetilide,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,441.57,0.93,3.96,,,0.64,,,2.765,
daclatasvir,CC(C)[C@@H](C(=O)N1CCC[C@H]1C2=NC=C(N2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CN=C(N5)[C@@H]6CCCN6C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC,738.885,,,,,,,,4.2,CYP450_3a4_substrate
cefepime,C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-],480.5676,,,,,0.2,,,64.0,
doripenem,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)CNS(=O)(=O)N)C(=O)O)[C@@H](C)O,420.5,,,,,0.08,,,15.9,
contezolid,C1CN(C=CC1=O)C2=C(C=C(C(=C2F)F)N3C[C@@H](OC3=O)CNC4=NOC=C4)F,408.3345,,,,,0.9,,,7.3999999999999995,
abacavir,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO,286.337,,,,,,,,13.4,
BMS-690514,COC1=CC=CC(=C1)NC2=NC=NN3C2=C(C=C3)CN4CC[C@H]([C@@H](C4)O)N,368.4386,1.53,4.3,10.0,5.84,,0.338,,7.0,
trametinib,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,693.53,4.99,0.25,0.2,1.0,0.9680000000000001,,,4.285,CYP450_3a4_substrate
viloxazine,CCOC1=CC=CC=C1OCC2CNCCO2,237.297,,,78.0,5.04,0.79,,,73.85,CYP450_3a4_inhibitor
tepotinib,CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC=CC(=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N,492.5802,4.0,9.5,,,0.98,,,23.8,CYP450_3a4_substrate
ampicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,371.39,,,100.0,,0.28,,,156.9,
fruquintinib,CC1=C(C2=C(O1)C=C(C=C2)OC3=NC=NC4=CC(=C(C=C43)OC)OC)C(=O)NC,393.39,4.26,2.78,129.9,2.75,0.47659999999999997,,0.05,9.600000000000001,CYP450_3a4_substrate
pravastatin (acid),CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O,424.53,1.6,4.2,0.001,,0.455,,,7.95,CYP450_3a4_substrate
tovorafenib,C[C@H](C1=NC=C(S1)C(=O)NC2=NC=C(C(=C2)C(F)(F)F)Cl)NC(=O)C3=C(C(=NC=N3)N)Cl,506.285,3.63,10.29,0.003,43.6,0.975,0.648,,0.73,CYP450_3a4_substrate
meropenem,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,437.52,,,,,0.02,,,8.95,
zidovudine,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],267.244,,,,,0.38,,,1.1,
lusutrombopag,CCCCCCO[C@@H](C)C1=CC=CC(=C1OC)C2=CSC(=N2)NC(=O)C3=CC(=C(C(=C3)Cl)/C=C(\C)/C(=O)O)Cl,591.5,,,,,0.9990000000000001,,,1.1,CYP450_3a4_substrate
fasiglifam,CC1=CC(=CC(=C1C2=CC=CC(=C2)COC3=CC4=C(C=C3)[C@@H](CO4)CC(=O)O)C)OCCCS(=O)(=O)C,524.6,,,,,0.9940000000000001,,,0.75,
irosustat,C1CCC2=C(CC1)C(=O)OC3=C2C=CC(=C3)OS(=O)(=O)N,309.3405,,,,,0.987,,,,
"theacrine (1,3,7,9-tetramethyluric acid)",CN1C2=C(N(C1=O)C)N(C(=O)N(C2=O)C)C,224.2188,,,,,,,,1.05,
terfenadine,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,471.681,7.1,13.2,96.3,,,,,5.48,
lenabasum (ajulemic acid),CCCCCCC(C)(C)C1=CC(=C2[C@@H]3CC(=CC[C@H]3C(OC2=C1)(C)C)C(=O)O)O,400.5554,1.84,5.13,400.0,8.17,0.99,0.51,,5.1,
sulindac,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,356.415,,,,,0.94,,,,
oxymorphone,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O,337.8,,,,,0.3,,,,CYP450_3a4_substrate
agomelatine,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,243.304,,,,,0.95,0.9,,39.95,
enoximone,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,248.305,,,,,0.59,,,11.985,
doxepin,CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31,279.4,,8.96,0.0466,9.844999999999999,,,,8.5,CYP450_3a4_substrate
captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,217.288,,,,,0.25,,,12.0,
bromocriptine,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,654.602,,,,,,,,5.5,
bezafibrate,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,361.823,,,,,0.95,,,,
nortriptyline,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,263.382,3.9,9.7,,,0.47,,,4.5,CYP450_2d6_inhibitor
dabrafenib,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F,519.57,2.9,6.6,0.001,,0.997,,,34.4,CYP450_3a4_substrate
mosapride,CCOC1=CC(=C(C=C1C(=O)NCC2CN(CCO2)CC3=CC=C(C=C3)F)Cl)N,421.8975,,,,,0.3,,,35.05,
nicotinic acid (niacin),C1=CC(=CN=C1)C(=O)O,123.11,,,,,,,,9.8,
tolrestat,CN(CC(=O)O)C(=S)C1=CC=CC2=C1C=CC(=C2C(F)(F)F)OC,357.3506,,,,,0.73,,,17.75,
meloxicam,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,351.4,3.0,4.08,,,0.9940000000000001,,,0.11,
inclisiran,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1OCCCCC(=O)NCCCNC(=O)CCOCC(COCCC(=O)NCCCNC(=O)CCCCO[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)NC(=O)C)(COCCC(=O)NCCCNC(=O)CCCCO[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)NC(=O)C)NC(=O)CCCCCCCCCCC(=O)N4C[C@@H](C[C@H]4COP(=O)(O)O)O)CO)O)O,17284.72,-8.0,,,,0.8740000000000001,,,23.435000000000002,CYP450_3a4_substrate
cefatrizine,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)CSC4=NNN=C4,462.5092,,,,,,,,126.5,
letrozole,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,285.3,,,,,,,,,
dexmethylphenidate,COC(=O)[C@@H]([C@H]1CCCCN1)C2=CC=CC=C2,233.3091,1.8,,100.0,,0.47,,,0.4,
ibandronate,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,319.229,,,,,0.86,,,122.0,
clenbuterol,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,277.1932,,,,,,,,5.515000000000001,
maribavir,CC(C)NC1=NC2=CC(=C(C=C2N1[C@@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)Cl)Cl,376.24,2.86,5.2,1.49,5.6,0.98,0.664,0.73,2.85,CYP450_3a4_substrate
durlobactam,CC1=C[C@@H]2CN([C@@H]1C(=O)N)C(=O)N2OS(=O)(=O)O,277.2559,2.0,,100.0,,0.1,,,6.535,CYP450_3a4_substrate
nitisinone,C1CC(=O)C(C(=O)C1)C(=O)C2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-],329.229,1.6,,0.001,,0.95,,,0.113,
baclofen,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,213.663,,,,,0.21,,,180.0,
thiabendazole,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,201.252,2.47,4.64,50000.0,,,,,,
perampanel,C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4,362.9,,3.24,0.47,26.68,,,,12.0,CYP450_3a4_substrate
tucaresol,C1=CC(=C(C(=C1)OCC2=CC=C(C=C2)C(=O)O)C=O)O,272.2548,,,,,,,,1.57,
ginsenoside Rg1,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(C[C@@H]([C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)O)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C,801.0168,,,,,0.43449999999999994,,,159.4,
ponatinib,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,532.56,2.78,6.5,1.0,8.0,,0.52,,35.9,CYP450_3a4_substrate
edoxaban,CN1CCC2=C(C1)SC(=N2)C(=O)N[C@@H]3C[C@H](CC[C@@H]3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C,548.065,,,,,0.55,,,22.0,CYP450_3a4_substrate
budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,430.5,,,0.001,,0.875,,,1.35,CYP450_3a4_substrate
ibrexafungerp,C[C@H](C(C)C)[C@]1(CC[C@@]2([C@H]3CC[C@H]4[C@]5(COC[C@]4(C3=CC[C@]2([C@@H]1C(=O)O)C)C[C@H]([C@@H]5OC[C@@](C)(C(C)(C)C)N)N6C(=NC=N6)C7=CC=NC=C7)C)C)C,730.0443,,,,8.45,0.9969999999999999,,,56.1,CYP450_3a4_substrate
naltrexone,C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O,341.405,,,,,0.21,,,,CYP450_3a4_substrate
sumatriptan,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,295.405,,,,,0.175,,,13.7,CYP450_3a4_substrate
ritonavir,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,720.955,3.9,,0.001,,0.985,,,0.8,CYP450_3a4_substrate
ombitasvir,CC(C)[C@@H](C(=O)N1CCC[C@H]1C(=O)NC2=CC=C(C=C2)[C@@H]3CC[C@H](N3C4=CC=C(C=C4)C(C)(C)C)C5=CC=C(C=C5)NC(=O)[C@@H]6CCCN6C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC,894.1203,7.9,,0.001,,0.9990000000000001,,,,
fluticasone propionate,CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF,500.5749,,,,,0.99,,,1093.0,
pancuronium,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[N+]4(CCCCC4)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C,732.677,,,,,0.045,,,1.1,
bendazac,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)OCC(=O)O,282.298,,,,,0.99,,,53.5,
amrubicin,CC(=O)[C@]1(C[C@@H](C2=C(C1)C(=C3C(=C2O)C(=O)C4=CC=CC=C4C3=O)O)O[C@H]5C[C@@H]([C@@H](CO5)O)O)N,483.47,,,,,,,,19.4,
josamycin,C[C@@H]1C/C=C/C=C/[C@@H]([C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)OC(=O)C)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)OC(=O)CC(C)C)(C)O)N(C)C)O)CC=O)C)O,827.999,2.9,,,,,,,,
levetiracetam,CC[C@@H](C(=O)N)N1CCCC1=O,170.2106,,,,,0.1,,,0.96,CYP450_3a4_substrate
binimetinib,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO,441.2305,,,,,0.97,,,20.2,CYP450_3a4_substrate
terazosin,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC,387.438,,,,,0.92,,,1.15,
minocycline,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,457.48,,,,,0.76,,,0.65,
metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,299.8,,,,,0.22,,,3.75,CYP450_3a4_substrate
dagrocorat,CC1=C(C=CC=N1)NC(=O)C2=CC3=C(C=C2)[C@@]4(CC[C@@](C[C@H]4CC3)(C(F)(F)F)O)CC5=CC=CC=C5,494.5541,,,,,7.000000000000001e-05,,,,
levomethadyl acetate,CC[C@@H](C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C,353.503,,,,,0.8,,,2.755,
delafloxacin,C1C(CN1C2=C(C=C3C(=C2Cl)N(C=C(C3=O)C(=O)O)C4=C(C=C(C(=N4)N)F)F)F)O,440.76,,,,,0.84,,,11.67,
bazedoxifene,CC1=C(N(C2=C1C=C(C=C2)O)CC3=CC=C(C=C3)OCCN4CCCCCC4)C5=CC=C(C=C5)O,470.61,,,,,0.9754999999999999,,,,CYP450_3a4_substrate
mezlocillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)N4CCN(C4=O)S(=O)(=O)C)C(=O)O)C,539.5875,,,,,,,,19.9,
irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,428.537,4.1,,,,0.9,,,1.33,CYP450_3a4_substrate
(l)-nebivolol,C1CC2=C(C=CC(=C2)F)O[C@H]1[C@H](CNC[C@@H]([C@@H]3CCC4=C(O3)C=CC(=C4)F)O)O,,,,,,0.9784999999999999,,,,
carboplatin,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],373.2666,,,,,0.0,,,0.9,
nevirapine,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,266.303,2.5,2.8,,,0.6,,,0.5,CYP450_3a4_substrate
danazol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5,337.4603,,,,,,,,59.0,
vecuronium,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1N4CCCCC4)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C,637.738,,,,,0.69,,,4.7,
dalfampridine (4-aminopyridine),C1=CN=CC=C1N,94.1164,,,,,0.02,,,,CYP450_3a4_substrate
gentamicin,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,477.599,,,,,0.1,,,0.82,
disopyramide,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,339.48,,,,,,,,0.8,
domperidone,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,425.918,3.96,7.89,,6.19,0.92,,,,
asciminib,C1CN(C[C@@H]1O)C2=C(C=C(C=N2)C(=O)NC3=CC=C(C=C3)OC(F)(F)Cl)C4=CC=NN4,449.8432,,1.975,0.124,22.1,0.973,0.36,,6.7,CYP450_3a4_substrate
apatinib,C1CCC(C1)(C#N)C2=CC=C(C=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4,493.5853,,,,,0.924,0.626,,57.8,
selexipag,CC(C)N(CCCCOCC(=O)NS(=O)(=O)C)C1=CN=C(C(=N1)C2=CC=CC=C2)C3=CC=CC=C3,496.62,,,,,0.99,,,35.0,CYP450_3a4_substrate
pyrotinib,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)/C=C/[C@H]5CCCN5C,583.1,,,,,0.9330000000000002,,,77.45,
tigecycline,CC(C)(C)NCC(=O)NC1=CC(=C2C[C@H]3C[C@H]4[C@@H](C(=O)C(=C([C@]4(C(=O)C3=C(C2=C1O)O)O)O)C(=O)N)N(C)C)N(C)C,585.65,0.8,3.17,14550.0,,0.71,,,23.8,
vorapaxar,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@@H]3[C@H]([C@H]2/C=C/C4=NC=C(C=C4)C5=CC(=CC=C5)F)[C@H](OC3=O)C,492.5877,,,,,,,,2.22,CYP450_3a4_substrate
encequidar,COC1=C(C=C2CN(CCC2=C1)CCC3=CC=C(C=C3)N4N=C(N=N4)C5=CC(=C(C=C5NC(=O)C6=CC(=O)C7=CC=CC=C7O6)OC)OC)OC,688.7,,,,,,,,91.5,
thiotepa,C1CN1P(=S)(N2CC2)N3CC3,189.222,,,,,,,,103.0,
propantheline,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C,368.494,,,,,,,,79.2,
(S)-acenocoumarol,CC(=O)C[C@@H](C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O,353.3285,,,,,,,,12.55,
irinotecan,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,586.685,,,,,0.49,,,9.4,CYP450_3a4_substrate
pyrimethamine,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,248.7,,,,,0.87,,,,
verapamil,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,454.607,,,,,0.46,,,10.5,CYP450_3a4_substrate
telaprevir,CCC[C@@H](C(=O)C(=O)NC1CC1)NC(=O)[C@@H]2[C@H]3CCC[C@H]3CN2C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](C4CCCCC4)NC(=O)C5=NC=CN=C5,679.8577,3.96,11.86,0.0047,5.7,0.675,,0.41,32.4,CYP450_3a4_substrate
vismodegib,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,421.3026,2.7,3.8,0.99,,0.99,,,0.0434,CYP450_3a4_substrate
duloxetine,CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,297.42,,,1.0,,0.015,,,94.5,CYP450_1a2_substrate
procyclidine,C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O,287.444,,,,,0.9259999999999999,,,,
cligosiban,COCC1=NN=C(N1C2=CN=C(C=C2)OC)N3CC(C3)OC4=C(C=C(C=C4)F)Cl,419.8421,,,,,,,,39.0,
moxonidine,CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC,241.6808,,,,,0.07,,,11.0,
maraviroc,CC1=NN=C(N1C2C[C@H]3CC[C@@H](C2)N3CC[C@@H](C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C,513.67,5.1,7.3,,,0.76,,,47.599999999999994,CYP450_3a4_substrate
lithium,[Li],6.941,,,,,0.0,,,0.22999999999999998,
oxaliplatin,C1CC[C@H]([C@@H](C1)[NH-])[NH-].C(=O)(C(=O)[O-])[O-].[Pt+4],395.2728,,,,,0.9,,,52.5,CYP450_3a4_substrate
darunavir,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,593.73,,,,,0.95,,,32.8,CYP450_3a4_substrate
ibrutinib,C=CC(=O)N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,440.5,3.97,3.74,0.001,57.9,0.973,,,62.0,CYP450_3a4_substrate
deflazacort,CC1=N[C@@]2([C@H](O1)C[C@@H]3[C@@]2(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)C(=O)COC(=O)C,441.517,,,,8.0,,,,,CYP450_3a4_substrate
tedizolid,CN1N=C(N=N1)C2=NC=C(C=C2)C3=C(C=C(C=C3)N4C[C@@H](OC4=O)CO)F,370.3425,,,,,0.8,,,8.4,
